,NAME,GEO_ID,pop_est_ov16,pop_est_ov16_me,employed,employed_me,unemployed,unemployed_me,armed_forces,armed_forces_me,non_labor_force,non_labor_force_me,state,year
1,Alabama,0400000US01,3639386,1272,2013755,6128,170118,3051,18206,1095,1437307,6046,01,2009
2,Alaska,0400000US02,521998,620,326950,2817,31342,1128,16640,1285,147066,2216,02,2009
3,Arizona,0400000US04,4830306,1707,2810448,7082,204107,3713,20291,991,1795460,6369,04,2009
4,Arkansas,0400000US05,2218097,1205,1249579,5069,99002,2462,7263,660,862253,4456,05,2009
5,California,0400000US06,27958467,3545,16550706,17889,1410973,9166,139269,3061,9857519,16417,06,2009
6,Colorado,0400000US08,3778412,1682,2454468,6505,162296,3030,27168,1029,1134480,5973,08,2009
7,Connecticut,0400000US09,2771454,1180,1745261,5761,128555,2582,7098,495,890540,4965,09,2009
8,Delaware,0400000US10,682249,681,413261,2642,28813,1240,3377,456,236798,2600,10,2009
9,District of Columbia,0400000US11,487174,497,291830,2612,29636,1260,2859,375,162849,2490,11,2009
10,Florida,0400000US12,14641527,3657,8224422,14534,668985,8230,61328,1931,5686792,13913,12,2009
11,Georgia,0400000US13,7260017,2487,4345885,10534,375428,5752,61284,1760,2477420,10148,13,2009
12,Hawaii,0400000US15,1024202,1017,605129,2855,31532,1173,44374,1426,343167,2922,15,2009
13,Idaho,0400000US16,1131049,1029,693052,4167,47001,1738,4947,487,386049,3774,16,2009
14,Illinois,0400000US17,9958475,2619,6097035,10427,527581,5767,19617,843,3314242,9842,17,2009
15,Indiana,0400000US18,4936695,1798,3003247,7489,249361,3679,4996,535,1679091,7074,18,2009
16,Iowa,0400000US19,2353947,1019,1545698,3973,79930,2138,2458,270,725861,3570,19,2009
17,Kansas,0400000US20,2158153,1220,1392799,4132,81433,2484,13950,940,669971,3834,20,2009
18,Kentucky,0400000US21,3357684,1688,1875443,6959,153687,2771,17432,995,1311122,6212,21,2009
19,Louisiana,0400000US22,3428972,1560,1936682,6533,158510,3376,17683,947,1316097,6601,22,2009
20,Maine,0400000US23,1073592,730,656411,2650,42811,1349,3566,499,370804,2622,23,2009
21,Maryland,0400000US24,4436052,1680,2866430,7240,182950,3503,27599,1529,1359073,6444,24,2009
22,Massachusetts,0400000US25,5238828,1718,3292019,8504,236719,4154,6652,567,1703438,8019,25,2009
23,Michigan,0400000US26,7901716,2209,4479502,9297,522001,5661,5953,551,2894260,7844,26,2009
24,Minnesota,0400000US27,4076095,1300,2730225,6166,168038,2789,3538,333,1174294,5263,27,2009
25,Mississippi,0400000US28,2247772,1175,1211883,4858,122644,2756,15337,1057,897908,4584,28,2009
26,Missouri,0400000US29,4641717,1862,2807641,6696,209252,3679,18068,1044,1606756,6091,29,2009
27,Montana,0400000US30,764273,616,469812,2630,27657,1037,3756,403,263048,2628,30,2009
28,Nebraska,0400000US31,1377481,909,924569,3147,47648,1485,6436,521,398828,2820,31,2009
29,Nevada,0400000US32,1956906,1269,1224279,4813,95854,2520,8952,724,627821,4357,32,2009
30,New Hampshire,0400000US33,1055833,746,698733,3139,39113,1392,1567,289,316420,3052,33,2009
31,New Jersey,0400000US34,6821981,1732,4217343,7675,310767,4190,10487,1037,2283384,7452,34,2009
32,New Mexico,0400000US35,1519521,808,877146,4187,63498,2077,8781,686,570096,4058,35,2009
33,New York,0400000US36,15470793,2871,9102596,11337,688291,5849,25979,1184,5653927,11479,36,2009
34,North Carolina,0400000US37,7084756,2208,4171964,9013,346617,4929,92274,2651,2473901,9376,37,2009
35,North Dakota,0400000US38,514290,494,339790,1854,12596,717,6516,553,155388,1677,38,2009
36,Ohio,0400000US39,9080592,2079,5418915,10734,469223,4805,11599,784,3180855,9703,39,2009
37,Oklahoma,0400000US40,2811935,1282,1645888,4743,101893,2755,21017,1101,1043137,3835,40,2009
38,Oregon,0400000US41,2964185,1247,1765814,5945,150076,2741,3272,417,1045023,5100,41,2009
39,Pennsylvania,0400000US42,10055581,2156,5901533,10514,427733,5681,10433,674,3715882,9989,42,2009
40,Rhode Island,0400000US44,852449,572,523367,3343,39903,1388,3648,421,285531,2964,44,2009
41,South Carolina,0400000US45,3480700,1368,1971789,5612,181107,3384,35665,1172,1292139,5276,45,2009
42,South Dakota,0400000US46,623398,607,411984,2426,19209,826,3101,383,189104,2114,46,2009
43,Tennessee,0400000US47,4853746,2003,2809223,8363,242253,3969,16722,1135,1785548,7992,47,2009
44,Texas,0400000US48,17889418,3387,10860964,13484,791884,7639,96766,2574,6139804,12293,48,2009
45,Utah,0400000US49,1909462,1209,1251982,4676,67823,2120,6726,731,582931,4390,49,2009
46,Vermont,0400000US50,507302,413,329640,1718,19614,925,673,148,157375,1455,50,2009
47,Virginia,0400000US51,6097997,2034,3768930,7527,216714,3761,125689,2687,1986664,7808,51,2009
48,Washington,0400000US53,5100398,1484,3089219,6539,232592,3488,52910,1815,1725677,6801,53,2009
49,West Virginia,0400000US54,1471068,1048,760616,4024,54856,1646,1888,325,653708,4042,54,2009
50,Wisconsin,0400000US55,4440470,1254,2873396,6364,187407,3119,4986,458,1374681,5552,55,2009
51,Wyoming,0400000US56,413133,638,273892,1886,12851,1006,3759,581,122631,1596,56,2009
52,Puerto Rico,0400000US72,3061264,1246,1208908,5208,234511,3566,2320,366,1615525,5475,72,2009
1,Alabama,0400000US01,3714504,1588,2036867,5904,194012,3179,15969,888,1467656,5401,01,2010
2,Alaska,0400000US02,528189,576,332126,2150,31231,1169,17086,991,147746,1758,02,2010
3,Arizona,0400000US04,4813496,1502,2747475,7324,227691,3977,20490,1030,1817840,7475,04,2010
4,Arkansas,0400000US05,2247624,1178,1254140,4879,106798,2496,7061,518,879625,4710,05,2010
5,California,0400000US06,28445585,4159,16632466,19046,1642405,9158,143435,2902,10027279,16830,06,2010
