,NAME,GEO_ID,est_households,est_households_me,under_10k,under_10k_me,bw_10_15k,bw_10_15k_me,bw_15_25k,bw_15_25k_me,bw_25_35k,bw_25_35k_me,bw_35_50k,bw_35_50k_me,bw_50_75k,bw_50_75k_me,bw_75_100k,bw_75_100k_me,bw_100_150k,bw_100_150k_me,bw_150_200k,bw_150_200k_me,over_200k,over_200k_me,median_hh_income,median_hh_income_me,mean_hh_income,mean_hh_income_me,state,year
1,Alabama,0400000US01,4018,451,1819441,5562,193469,3490,134988,2286,245224,3045,215653,3333,268672,3405,320052,3698,191272,2763,164084,2366,46035,1250,39992,1115,41216,231,01,2009
2,Alaska,0400000US02,983,238,234779,1453,9983,622,9008,623,18258,828,20626,945,30850,1130,46177,1220,35969,1219,40180,1068,14169,598,9559,592,64635,747,02,2009
3,Arizona,0400000US04,4824,472,2248170,6020,152636,2947,113771,2625,246562,4058,257140,3621,347590,3478,432923,3980,278303,3607,261188,3997,81181,1682,76876,1872,50296,228,04,2009
4,Arkansas,0400000US05,3232,382,1109635,4219,115369,2155,87121,1863,161883,2823,144689,2288,175283,2577,195910,2842,105867,2104,81603,1749,22426,968,19484,877,38542,288,05,2009
5,California,0400000US06,35106,1551,12187191,20589,648213,6244,628340,5246,1154118,8336,1122782,7660,1560204,9487,2169105,10485,1564337,7771,1817134,10769,754969,6369,767989,5646,60392,154,06,2009
6,Colorado,0400000US08,5725,739,1869276,5576,120777,2304,87257,2177,178078,2503,184007,2636,264025,3360,358725,3974,244601,3377,259109,3265,91592,1743,81105,1972,56222,261,08,2009
7,Connecticut,0400000US09,2698,321,1327482,3454,73151,1929,54931,1588,105970,2286,105924,2249,153408,2456,233127,2850,185880,2579,220802,2535,90279,1908,104010,1663,67721,389,09,2009
8,Delaware,0400000US10,517,131,325160,1266,18158,829,13244,695,31244,1112,32016,1214,45117,1564,64895,1541,45565,1411,46346,1205,16081,699,12494,631,57618,579,10,2009
9,District of Columbia,0400000US11,274,127,250723,1237,27704,953,12177,826,21274,968,21752,916,30047,1044,39188,1206,26606,1077,31706,1199,16712,748,23557,902,56519,913,11,2009
10,Florida,0400000US12,15260,821,7076539,19863,511910,5223,402848,4973,837030,6485,844340,6358,1112982,6822,1345257,8651,806311,6732,731526,6788,236106,3363,248229,3350,47450,156,12,2009
11,Georgia,0400000US13,9115,781,3417298,9219,284244,4048,196371,3161,370385,4227,372053,4442,501997,4799,641585,5509,411020,4282,384552,4506,130193,2301,124898,2241,49466,220,13,2009
12,Hawaii,0400000US15,1575,289,437976,1797,25616,1154,16218,933,32461,1358,36768,1270,55087,1573,86160,2039,65458,1632,72167,1547,26807,940,21234,886,64661,568,15,2009
13,Idaho,0400000US16,2178,274,552726,2138,35679,1258,32857,1121,67340,1607,71094,1686,90936,2089,116786,1985,64965,1561,48793,1074,13093,729,11183,618,46183,428,16,2009
14,Illinois,0400000US17,10133,694,4749388,10084,334415,3806,236950,3300,477411,4279,466199,4399,643541,4587,905607,6046,624148,5652,626633,5121,219763,2838,214721,2755,55222,192,17,2009
15,Indiana,0400000US18,5566,500,2468006,7798,183110,2697,140573,2471,287078,3704,293893,3403,388464,3603,502727,4448,306247,3708,247329,3036,65931,1644,52654,1505,47465,193,18,2009
16,Iowa,0400000US19,4379,418,1215970,4568,78921,1668,73103,1431,142553,2319,140586,2077,196063,2424,253784,3036,154623,1983,119205,2015,30281,1085,26851,885,48052,203,19,2009
17,Kansas,0400000US20,3630,342,1093694,5605,76150,1720,60113,1842,126726,2165,128741,2206,171677,2439,214152,2822,135276,2005,115461,1818,35306,1042,30092,942,48394,276,20,2009
18,Kentucky,0400000US21,4586,436,1674738,5377,180943,3388,126327,2298,219703,3371,200042,2920,253365,3320,299985,3645,179072,2863,145377,2431,37786,1212,32138,1054,41197,243,21,2009
19,Louisiana,0400000US22,4840,595,1644094,5295,177071,2967,124048,2391,213066,3079,188818,2823,234716,2867,281159,3326,177680,2700,160251,2846,46087,1244,41198,1285,42167,259,22,2009
20,Maine,0400000US23,1497,202,542617,1669,40601,1186,35342,1158,66677,1331,63096,1589,84436,1668,111443,1842,65405,1425,49973,1119,14045,736,11599,566,46541,400,23,2009
21,Maryland,0400000US24,4251,475,2092538,4781,103412,1896,72289,1720,145155,2538,166283,2664,253457,3407,384786,4171,299807,3867,366832,3334,158480,2305,142037,1983,69475,307,24,2009
22,Massachusetts,0400000US25,4798,571,2465654,5001,167662,3109,124064,2449,204956,3001,196030,3010,280907,3884,427065,4577,338280,3592,404500,3979,164083,2787,158107,2383,64496,321,25,2009
23,Michigan,0400000US26,9251,623,3860160,11387,308694,3600,220515,3061,434594,4279,434302,3636,576877,4504,735542,5211,474955,4383,437708,4396,131864,1879,105109,1622,48700,162,26,2009
24,Minnesota,0400000US27,5260,398,2061882,8291,118876,2168,97326,1963,190855,2853,199601,2717,294028,3255,420891,3834,294413,3240,277793,2594,89054,1914,79045,1423,57007,210,27,2009
25,Mississippi,0400000US28,2796,442,1085836,3912,135334,2649,92649,2327,157561,2964,135461,2812,159372,2680,181918,2915,100983,2540,82577,2217,21068,802,18913,756,36796,282,28,2009
26,Missouri,0400000US29,6850,505,2322238,6942,186535,2669,144276,2455,281173,3154,278107,3366,359817,3598,450466,4134,271971,3649,227766,2475,66165,1605,55962,1309,46005,181,29,2009
27,Montana,0400000US30,2579,325,372947,1939,29930,1185,25339,1065,50229,1375,46690,1129,60663,1534,72664,1674,41999,1214,31068,1006,7643,504,6722,471,43089,464,30,2009
28,Nebraska,0400000US31,2617,286,702637,4462,47902,1304,41039,1291,82906,1541,83822,1619,109525,1805,146852,1919,87734,1672,69882,1327,17498,741,15477,657,47995,270,31,2009
29,Nevada,0400000US32,1735,311,944178,3503,51989,1708,37420,1494,88478,2256,100868,1888,141100,2912,199439,3046,131291,2584,123906,2327,38153,1383,31534,1288,55585,420,32,2009
30,New Hampshire,0400000US33,890,167,502201,1807,23627,1036,20208,1078,41574,1207,44160,1231,67347,1483,100096,1982,76318,1457,80093,1632,27428,1164,21350,773,63033,443,33,2009
31,New Jersey,0400000US34,6850,611,3152877,6305,171072,2993,125320,2301,249289,3180,248650,3204,357489,3722,541156,5286,430450,3724,544894,4660,236860,3230,247697,2949,68981,284,34,2009
32,New Mexico,0400000US35,2816,480,736630,2632,69841,1674,50531,1451,95262,1850,89308,1862,113698,2252,131897,2474,79663,1846,68433,1230,21357,859,16640,773,42742,371,35,2009
33,New York,0400000US36,13888,803,7137013,10676,589813,3932,386730,4084,710573,5081,672605,5155,903518,4956,1247880,6024,870891,6411,951204,6752,378476,4219,425323,4329,55233,179,36,2009
34,North Carolina,0400000US37,7792,690,3541807,8943,306904,3527,228032,3898,433358,4013,424996,4822,540793,4814,661462,6051,395366,4339,343537,4029,105901,2062,101458,1666,45069,212,37,2009
35,North Dakota,0400000US38,1172,142,273035,2886,22701,913,17701,846,33338,1164,33663,1158,42041,1073,55035,1349,32074,957,25029,812,5898,407,5555,346,45140,557,38,2009
36,Ohio,0400000US39,9679,591,4526164,11662,374003,4126,270738,3188,525935,4056,520829,5005,692252,5687,881389,5678,545023,5449,468999,4607,137416,2394,109580,1937,47144,158,39,2009
37,Oklahoma,0400000US40,4807,402,1405005,5357,130195,2327,96971,2081,188122,2436,179156,2754,219578,2580,262420,3221,148083,2034,118984,2055,31441,1002,30055,1007,41861,256,40,2009
38,Oregon,0400000US41,4756,434,1464196,4051,106514,2206,84894,2089,166246,2196,165692,2656,221791,2669,289759,3366,179482,2519,159686,2629,47603,1381,42529,1104,49033,272,41,2009
39,Pennsylvania,0400000US42,11083,719,4893127,9499,357193,3852,293211,3516,559604,4096,539808,4637,708328,4927,936707,5629,602849,4862,555307,5222,176468,2607,163652,2359,49737,158,42,2009
40,Rhode Island,0400000US44,584,159,404227,1985,30304,1222,23599,850,39821,1375,37573,1137,51874,1373,73334,1531,56567,1368,56462,1442,19150,881,15543,743,55569,655,44,2009
