NAME,GEO_ID,pop_est,pop_est_me,state,year
Alabama,0400000US01,4633360,0,01,2009
Alaska,0400000US02,683142,0,02,2009
Arizona,0400000US04,6324865,0,04,2009
Arkansas,0400000US05,2838143,0,05,2009
California,0400000US06,36308527,0,06,2009
Colorado,0400000US08,4843211,0,08,2009
Connecticut,0400000US09,3494487,0,09,2009
Delaware,0400000US10,863832,0,10,2009
District of Columbia,0400000US11,588433,0,11,2009
Florida,0400000US12,18222420,0,12,2009
Georgia,0400000US13,9497667,0,13,2009
Hawaii,0400000US15,1280241,0,15,2009
Idaho,0400000US16,1492573,0,16,2009
Illinois,0400000US17,12785043,0,17,2009
Indiana,0400000US18,6342469,0,18,2009
Iowa,0400000US19,2978880,0,19,2009
Kansas,0400000US20,2777835,0,20,2009
Kentucky,0400000US21,4252000,0,21,2009
Louisiana,0400000US22,4411546,0,22,2009
Maine,0400000US23,1316380,0,23,2009
Maryland,0400000US24,5637418,0,24,2009
Massachusetts,0400000US25,6511176,0,25,2009
Michigan,0400000US26,10039208,0,26,2009
Minnesota,0400000US27,5188581,0,27,2009
Mississippi,0400000US28,2922240,0,28,2009
Missouri,0400000US29,5904382,0,29,2009
Montana,0400000US30,956257,0,30,2009
Nebraska,0400000US31,1772124,0,31,2009
Nevada,0400000US32,2545763,0,32,2009
New Hampshire,0400000US33,1315419,0,33,2009
New Jersey,0400000US34,8650548,0,34,2009
New Mexico,0400000US35,1964860,0,35,2009
New York,0400000US36,19423896,0,36,2009
North Carolina,0400000US37,9045705,0,37,2009
North Dakota,0400000US38,639725,0,38,2009
Ohio,0400000US39,11511858,0,39,2009
Oklahoma,0400000US40,3610073,0,40,2009
Oregon,0400000US41,3727407,0,41,2009
Pennsylvania,0400000US42,12516596,0,42,2009
Rhode Island,0400000US44,1057381,0,44,2009
South Carolina,0400000US45,4416867,0,45,2009
South Dakota,0400000US46,796513,0,46,2009
Tennessee,0400000US47,6158953,0,47,2009
Texas,0400000US48,23819042,0,48,2009
Utah,0400000US49,2651816,0,49,2009
Vermont,0400000US50,620414,0,50,2009
Virginia,0400000US51,7721730,0,51,2009
Washington,0400000US53,6465755,0,53,2009
West Virginia,0400000US54,1811403,0,54,2009
Wisconsin,0400000US55,5599420,0,55,2009
Wyoming,0400000US56,523949,0,56,2009
Puerto Rico,0400000US72,3940109,0,72,2009
Alabama,0400000US01,4712651,-555555555,01,2010
Alaska,0400000US02,691189,-555555555,02,2010
Arizona,0400000US04,6246816,-555555555,04,2010
Arkansas,0400000US05,2872684,-555555555,05,2010
California,0400000US06,36637290,-555555555,06,2010
Colorado,0400000US08,4887061,-555555555,08,2010
Connecticut,0400000US09,3545837,-555555555,09,2010
Delaware,0400000US10,881278,-555555555,10,2010
District of Columbia,0400000US11,584400,-555555555,11,2010
Florida,0400000US12,18511620,-555555555,12,2010
Georgia,0400000US13,9468815,-555555555,13,2010
