Year,State,state_name,COC_count,Overall,Individuals,People in Families
2007,AK,Alaska,2,1642,1062,580
2007,AL,Alabama,8,5452,4184,1268
2007,AR,Arkansas,9,3836,2987,849
2007,AS,American Samoa,0, , , 
2007,AZ,Arizona,3,14646,10020,4626
2007,CA,California,42,138986,110952,28034
2007,CO,Colorado,3,14225,6844,7381
2007,CT,Connecticut,12,4482,3173,1309
2007,DC,District of Columbia,1,5320,3717,1603
2007,DE,Delaware,1,1061,716,345
2007,FL,Florida,27,48069,33040,15029
2007,GA,Georgia,7,19639,12521,7118
2007,GU,Guam,1,725,254,471
2007,HI,Hawaii,2,6070,3335,2735
2007,IA,Iowa,3,2734,1504,1230
2007,ID,Idaho,2,1749,1102,647
2007,IL,Illinois,21,15487,8653,6834
2007,IN,Indiana,3,7358,4734,2624
2007,KS,Kansas,6,2111,1208,903
2007,KY,Kentucky,3,8061,3890,4171
2007,LA,Louisiana,9,5494,2973,2521
2007,MA,Massachusetts,21,15127,8292,6835
2007,MD,Maryland,16,9628,5052,4576
2007,ME,Maine,3,2638,1136,1502
2007,MI,Michigan,24,28295,17553,10742
2007,MN,Minnesota,13,7323,3269,4054
2007,MO,Missouri,9,6247,3336,2911
2007,MP,Northern Mariana Islands,0, , , 
2007,MS,Mississippi,3,1377,1115,262
2007,MT,Montana,1,1150,633,517
2007,NC,North Carolina,13,11802,8391,3411
2007,ND,North Dakota,1,636,403,233
2007,NE,Nebraska,7,3531,2172,1359
2007,NH,New Hampshire,3,2248,1255,993
2007,NJ,New Jersey,21,17314,8972,8342
2007,NM,New Mexico,2,3015,1861,1154
2007,NV,Nevada,3,8642,6477,2165
2007,NY,New York,32,62601,28056,34545
2007,OH,Ohio,9,11264,6870,4394
2007,OK,Oklahoma,8,4221,2982,1239
2007,OR,Oregon,8,17590,9871,7719
2007,PA,Pennsylvania,17,16220,8229,7991
2007,PR,Puerto Rico,2,4309,3914,395
2007,RI,Rhode Island,1,1372,643,729
2007,SC,South Carolina,5,5660,3771,1889
2007,SD,South Dakota,1,579,268,311
2007,TN,Tennessee,10,11210,8462,2748
2007,TX,Texas,18,39788,26306,13482
2007,UT,Utah,3,3011,1945,1066
2007,VA,Virginia,22,9746,5523,4223
2007,VI,Virgin Islands,1,559,537,22
2007,VT,Vermont,2,1035,599,436
2007,WA,Washington,8,23379,13289,10090
2007,WI,Wisconsin,4,5648,2403,3245
2007,WV,West Virginia,4,2409,1915,494
2007,WY,Wyoming,1,537,331,206
2008,AK,Alaska,2,1646,1067,579
2008,AL,Alabama,8,5387,4086,1301
2008,AR,Arkansas,6,3255,2625,630
2008,AS,American Samoa,0, , , 
2008,AZ,Arizona,3,12488,8428,4060
2008,CA,California,42,136531,109050,27481
2008,CO,Colorado,3,14747,6260,8487
2008,CT,Connecticut,12,4627,2773,1854
2008,DC,District of Columbia,1,6044,4208,1836
2008,DE,Delaware,1,933,652,281
2008,FL,Florida,28,50158,32959,17199
2008,GA,Georgia,7,19095,13728,5367
2008,GU,Guam,1,725,254,471
2008,HI,Hawaii,2,6061,3326,2735
2008,IA,Iowa,3,3346,1609,1737
2008,ID,Idaho,2,1464,817,647
2008,IL,Illinois,21,14724,8356,6368
2008,IN,Indiana,3,7395,4937,2458
2008,KS,Kansas,5,1738,1080,658
2008,KY,Kentucky,3,8137,4344,3793
2008,LA,Louisiana,9,5481,2894,2587
2008,MA,Massachusetts,21,14506,7127,7379
2008,MD,Maryland,16,9219,4806,4413
2008,ME,Maine,3,2632,1241,1391
2008,MI,Michigan,22,28248,17364,10884
2008,MN,Minnesota,11,7644,3388,4256
2008,MO,Missouri,8,7687,4195,3492
2008,MP,Northern Mariana Islands,0, , , 
2008,MS,Mississippi,3,1961,1697,264
2008,MT,Montana,1,1417,968,449
2008,NC,North Carolina,13,12411,8749,3662
2008,ND,North Dakota,1,615,375,240
2008,NE,Nebraska,7,3985,2244,1741
2008,NH,New Hampshire,3,2019,1172,847
2008,NJ,New Jersey,20,13832,6848,6984
2008,NM,New Mexico,2,3015,1861,1154
2008,NV,Nevada,3,8726,6512,2214
2008,NY,New York,29,61125,25771,35354
2008,OH,Ohio,9,12912,7865,5047
2008,OK,Oklahoma,8,3846,2674,1172
2008,OR,Oregon,8,20653,11548,9105
2008,PA,Pennsylvania,17,15378,7734,7644
2008,PR,Puerto Rico,2,3012,2668,344
2008,RI,Rhode Island,1,1196,714,482
2008,SC,South Carolina,5,5660,3809,1851
2008,SD,South Dakota,1,579,268,311
2008,TN,Tennessee,10,9705,7242,2463
2008,TX,Texas,18,40190,27950,12240
2008,UT,Utah,3,3434,2018,1416
2008,VA,Virginia,22,8469,4838,3631
2008,VI,Virgin Islands,1,602,566,36
2008,VT,Vermont,2,954,627,327
2008,WA,Washington,7,21954,12156,9798
2008,WI,Wisconsin,4,5449,2285,3164
2008,WV,West Virginia,4,2016,1435,581
2008,WY,Wyoming,1,751,357,394
2009,AK,Alaska,2,1992,1239,753
2009,AL,Alabama,8,6080,4686,1394
2009,AR,Arkansas,6,2852,2181,671
2009,AS,American Samoa,0, , , 
2009,AZ,Arizona,3,14721,9959,4762
2009,CA,California,43,123678,97534,26144
2009,CO,Colorado,3,15268,7401,7867
2009,CT,Connecticut,12,4605,2773,1832
2009,DC,District of Columbia,1,6228,3934,2294
2009,DE,Delaware,1,1130,776,354
2009,FL,Florida,28,55599,34432,21167
2009,GA,Georgia,7,20360,14365,5995
2009,GU,Guam,1,1088,391,697
2009,HI,Hawaii,2,5782,2941,2841
2009,IA,Iowa,3,3380,1655,1725
2009,ID,Idaho,2,1939,1117,822
2009,IL,Illinois,21,14055,7475,6580
2009,IN,Indiana,3,6984,4151,2833
2009,KS,Kansas,5,1892,1238,654
2009,KY,Kentucky,3,5999,3302,2697
2009,LA,Louisiana,9,12504,10098,2406
2009,MA,Massachusetts,20,15482,7057,8425
2009,MD,Maryland,16,11698,6641,5057
2009,ME,Maine,3,2444,1124,1320
2009,MI,Michigan,22,14005,7857,6148
2009,MN,Minnesota,11,7718,3393,4325
2009,MO,Missouri,8,6959,3823,3136
2009,MP,Northern Mariana Islands,0, , , 
2009,MS,Mississippi,3,2797,1843,954
2009,MT,Montana,1,1196,752,444
2009,NC,North Carolina,12,12918,9159,3759
2009,ND,North Dakota,1,773,548,225
2009,NE,Nebraska,7,3718,2072,1646
2009,NH,New Hampshire,3,1645,891,754
2009,NJ,New Jersey,20,13169,5962,7207
2009,NM,New Mexico,2,3475,2343,1132
2009,NV,Nevada,3,11089,9394,1695
2009,NY,New York,32,61067,24557,36510
2009,OH,Ohio,9,12700,7774,4926
2009,OK,Oklahoma,8,4838,3227,1611
2009,OR,Oregon,8,17309,10443,6866
2009,PA,Pennsylvania,17,15096,7384,7712
2009,PR,Puerto Rico,2,4070,3730,340
2009,RI,Rhode Island,1,1607,1139,468
2009,SC,South Carolina,5,4473,3194,1279
2009,SD,South Dakota,1,731,445,286
2009,TN,Tennessee,10,10532,8048,2484
2009,TX,Texas,18,36761,22564,14197
2009,UT,Utah,3,3795,2242,1553
2009,VA,Virginia,22,8852,5066,3786
2009,VI,Virgin Islands,1,471,430,41
2009,VT,Vermont,2,1214,693,521
2009,WA,Washington,7,22782,12086,10696
2009,WI,Wisconsin,4,6525,3161,3364
2009,WV,West Virginia,4,1667,1101,566
2009,WY,Wyoming,1,515,340,175
2010,AK,Alaska,2,1863,1118,745
2010,AL,Alabama,8,6046,4553,1493
2010,AR,Arkansas,5,2762,2120,642
2010,AS,American Samoa,0, , , 
2010,AZ,Arizona,3,13711,9226,4485
2010,CA,California,43,123480,96940,26540
2010,CO,Colorado,3,15482,7574,7908
2010,CT,Connecticut,10,4316,2993,1323
2010,DC,District of Columbia,1,6539,4016,2523
2010,DE,Delaware,1,982,681,301
2010,FL,Florida,28,57551,35738,21813
2010,GA,Georgia,7,19836,14377,5459
2010,GU,Guam,1,1635,534,1101
2010,HI,Hawaii,2,5834,2889,2945
2010,IA,Iowa,3,3014,1528,1486
2010,ID,Idaho,2,2346,1445,901
2010,IL,Illinois,21,14395,7568,6827
2010,IN,Indiana,3,6452,3588,2864
2010,KS,Kansas,5,2024,1318,706
2010,KY,Kentucky,3,6623,4125,2498
2010,LA,Louisiana,9,12482,10101,2381
2010,MA,Massachusetts,20,16646,6403,10243
2010,MD,Maryland,16,10845,5999,4846
2010,ME,Maine,3,2379,1061,1318
2010,MI,Michigan,21,13058,7365,5693
2010,MN,Minnesota,11,7869,3605,4264
2010,MO,Missouri,8,8122,4427,3695
2010,MP,Northern Mariana Islands,0, , , 
2010,MS,Mississippi,3,2743,1924,819
2010,MT,Montana,1,1615,890,725
2010,NC,North Carolina,12,12191,8361,3830
2010,ND,North Dakota,1,799,539,260
2010,NE,Nebraska,7,3877,2423,1454
2010,NH,New Hampshire,3,1574,943,631
2010,NJ,New Jersey,20,13737,6520,7217
2010,NM,New Mexico,2,3475,2343,1132
2010,NV,Nevada,3,11205,9565,1640
2010,NY,New York,32,65606,26293,39313
2010,OH,Ohio,9,12569,7719,4850
2010,OK,Oklahoma,8,5229,3317,1912
2010,OR,Oregon,8,19492,10731,8761
2010,PA,Pennsylvania,17,14516,7191,7325
2010,PR,Puerto Rico,2,4149,3721,428
2010,RI,Rhode Island,1,1282,704,578
2010,SC,South Carolina,4,4473,3194,1279
2010,SD,South Dakota,1,731,445,286
2010,TN,Tennessee,10,10276,7623,2653
2010,TX,Texas,17,35121,24078,11043
2010,UT,Utah,3,3284,1926,1358
2010,VA,Virginia,22,9080,5338,3742
2010,VI,Virgin Islands,1,487,468,19
2010,VT,Vermont,2,1220,797,423
2010,WA,Washington,7,22878,11901,10977
2010,WI,Wisconsin,4,6333,3040,3293
2010,WV,West Virginia,4,2264,1527,737
2010,WY,Wyoming,1,579,327,252
2011,AK,Alaska,2,2128,1286,842
2011,AL,Alabama,8,5558,4325,1233
2011,AR,Arkansas,7,3424,2505,919
2011,AS,American Samoa,0, , , 
2011,AZ,Arizona,3,10504,6403,4101
2011,CA,California,42,125128,97964,27164
2011,CO,Colorado,3,15116,4546,10570
2011,CT,Connecticut,7,4456,3071,1385
2011,DC,District of Columbia,1,6546,3858,2688
2011,DE,Delaware,1,1035,663,372
2011,FL,Florida,28,56687,37584,19103
2011,GA,Georgia,7,20975,15975,5000
2011,GU,Guam,1,1745,279,1466
2011,HI,Hawaii,2,6188,3195,2993
